,DATA_AS_AT,TRANSACTION_ID,EXPENDITURE,STATE,JSKR_LINKAGE_KEY,STREAM_PLACEMENT_DESC,EF_CATEGORY_DESCRIPTION,DERIVED_DATE_OF_SERVICE,ACTIVITY_TYPE_DESC,ACTIVITY_SUB_DESC,EDUCATION_LEVEL_DESC,GENDER,INDIGENOUS,HOMELESS,PWD,CALD,REFUGEE,EX_OFFENDER,AGE_GROUP,UE_GROUP,year,month,year_month,EDUCATION_ADJ,EF_CATEGORY_ADJ
212,5/08/2018,2037439J,69.62,NSW,149,Stream C,"Tools, Books, Equipment and Mobile Phones",26/06/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,40 to 49 years,12 to 23 Months,2017,6,Jun-17,<Year 10,Other Items
321,5/08/2018,1702847J,1056.0,NSW,198,Stream C,Accredited Training,22/02/2017,Accredited Education and Training (Vocational),Certificate 3,Non-trade vocational education,Male,1.0,1.0,1.0,,,1.0,25 to 29 years,60+ Months,2017,2,Feb-17,Non-trade vocational education,Accredited Training
322,5/08/2018,1463867J,79.0,NSW,198,Stream C,"Food, Phone and Petrol Cards/Vouchers",11/01/2017,,,Non-trade vocational education,Male,1.0,1.0,1.0,,,1.0,25 to 29 years,60+ Months,2017,1,Jan-17,Non-trade vocational education,Cash Cards/Vouchers
529,5/08/2018,1948644J,122.0,VIC,310,Stream B,Job Seeker Transport,16/05/2017,,,Primary school or less than Year 10,Female,1.0,1.0,1.0,,,1.0,40 to 49 years,24 to 59 Months,2017,5,May-17,<Year 10,Transport
530,5/08/2018,1948548J,72.0,VIC,310,Stream B,Job Seeker Transport,3/05/2017,,,Primary school or less than Year 10,Female,1.0,1.0,1.0,,,1.0,40 to 49 years,24 to 59 Months,2017,5,May-17,<Year 10,Transport
930,5/08/2018,1487420J,125.4,TAS,590,Stream C,Professional Services,25/01/2017,,,Year 10/11,Male,1.0,1.0,1.0,,,1.0,Under 22 years,24 to 59 Months,2017,1,Jan-17,Year 10/11,Prof Service
932,5/08/2018,1593803J,125.4,TAS,590,Stream C,Professional Services,23/02/2017,,,Year 10/11,Male,1.0,1.0,1.0,,,1.0,Under 22 years,24 to 59 Months,2017,2,Feb-17,Year 10/11,Prof Service
934,5/08/2018,1435406J,125.4,TAS,590,Stream C,Professional Services,10/01/2017,,,Year 10/11,Male,1.0,1.0,1.0,,,1.0,Under 22 years,24 to 59 Months,2017,1,Jan-17,Year 10/11,Prof Service
937,5/08/2018,1536991J,125.4,TAS,590,Stream C,Professional Services,9/02/2017,,,Year 10/11,Male,1.0,1.0,1.0,,,1.0,Under 22 years,24 to 59 Months,2017,2,Feb-17,Year 10/11,Prof Service
938,5/08/2018,1806855J,125.4,TAS,590,Stream C,Professional Services,24/04/2017,,,Year 10/11,Male,1.0,1.0,1.0,,,1.0,Under 22 years,24 to 59 Months,2017,4,Apr-17,Year 10/11,Prof Service
1115,5/08/2018,1668270J,62.0,VIC,718,Stream B,"Food, Phone and Petrol Cards/Vouchers",7/03/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,25 to 29 years,Under 12 Months,2017,3,Mar-17,<Year 10,Cash Cards/Vouchers
1116,5/08/2018,1627610J,44.9,VIC,718,Stream B,Work Related Items,8/03/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,22 to 24 years,Under 12 Months,2017,3,Mar-17,<Year 10,Work Items
1117,5/08/2018,1911411J,193.9,VIC,718,Stream B,Clothing and Presentation,17/05/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,25 to 29 years,12 to 23 Months,2017,5,May-17,<Year 10,Clothing
1118,5/08/2018,2039150J,330.0,VIC,718,Stream B,Targeted Pre-Employment Preparation,16/05/2017,Non-Accredited Education and Training (Vocational),Pre-Employment Training,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,25 to 29 years,12 to 23 Months,2017,5,May-17,<Year 10,Pre-Employ Prep
1119,5/08/2018,1475184J,137.5,WA ,719,Stream B,Professional Services,2/02/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,40 to 49 years,60+ Months,2017,2,Feb-17,Non-trade vocational education,Prof Service
1978,5/08/2018,1647517J,440.0,QLD,1247,Stream B,Accredited Training,30/01/2017,Accredited Education and Training (Vocational),Accredited Units,Year 10/11,Male,1.0,1.0,,,,1.0,30 to 39 years,24 to 59 Months,2017,1,Jan-17,Year 10/11,Accredited Training
1979,5/08/2018,2410454J,49.5,QLD,1247,Stream B,Work Related Items,22/06/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,30 to 39 years,24 to 59 Months,2017,6,Jun-17,Year 10/11,Work Items
4796,5/08/2018,1506794J,44.9,NSW,3050,Stream B,Work Related Licencing,6/02/2017,,,Diploma or equivalent,Male,1.0,1.0,1.0,,,1.0,40 to 49 years,24 to 59 Months,2017,2,Feb-17,Diploma,Work Licensing
4797,5/08/2018,1624836J,88.0,NSW,3050,Stream B,Work Related Items,6/03/2017,,,Diploma or equivalent,Male,1.0,1.0,1.0,,,1.0,40 to 49 years,24 to 59 Months,2017,3,Mar-17,Diploma,Work Items
4798,5/08/2018,1540819J,132.0,NSW,3050,Stream B,Work Related Licencing,24/02/2017,,,Diploma or equivalent,Male,1.0,1.0,1.0,,,1.0,40 to 49 years,24 to 59 Months,2017,2,Feb-17,Diploma,Work Licensing
4997,5/08/2018,1622700J,150.0,WA ,3202,Stream C,Professional Services,3/03/2017,,,Did not go to school,Male,1.0,1.0,,,,1.0,40 to 49 years,24 to 59 Months,2017,3,Mar-17,No schooling,Prof Service
5672,5/08/2018,1918596J,267.0,NT ,3590,Stream B,Work Related Items,30/03/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,30 to 39 years,Under 12 Months,2017,3,Mar-17,<Year 10,Work Items
5673,5/08/2018,1802600J,62.5,NT ,3590,Stream B,Clothing and Presentation,7/04/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,30 to 39 years,Under 12 Months,2017,4,Apr-17,<Year 10,Clothing
5675,5/08/2018,1550397J,434.0,NT ,3590,Stream B,Rent and Crisis Accommodation ,4/01/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,30 to 39 years,Under 12 Months,2017,1,Jan-17,<Year 10,Accom
5885,5/08/2018,1732581J,308.0,NSW,3748,Stream C,Targeted Pre-Employment Preparation,30/03/2017,Non-Accredited Education and Training (Vocational),Pre-Employment Training,Year 10/11,Male,1.0,1.0,1.0,,,1.0,22 to 24 years,Under 12 Months,2017,3,Mar-17,Year 10/11,Pre-Employ Prep
5927,5/08/2018,2021625J,11.0,NSW,3769,Stream C,"Food, Phone and Petrol Cards/Vouchers",22/05/2017,,,Trades qualification,Male,1.0,1.0,1.0,,,1.0,40 to 49 years,60+ Months,2017,5,May-17,Trade/TAFE,Cash Cards/Vouchers
5928,5/08/2018,2190260J,39.0,NSW,3769,Stream C,"Tools, Books, Equipment and Mobile Phones",22/05/2017,,,Trades qualification,Male,1.0,1.0,1.0,,,1.0,40 to 49 years,60+ Months,2017,5,May-17,Trade/TAFE,Other Items
5929,5/08/2018,1483490J,39.0,NSW,3769,Stream C,"Tools, Books, Equipment and Mobile Phones",23/01/2017,,,Trades qualification,Male,1.0,1.0,1.0,,,1.0,40 to 49 years,60+ Months,2017,1,Jan-17,Trade/TAFE,Other Items
5999,5/08/2018,2448714J,44.0,QLD,3823,Stream B,Job Seeker Transport,22/06/2017,,,Trades qualification,Male,1.0,1.0,,,,1.0,22 to 24 years,12 to 23 Months,2017,6,Jun-17,Trade/TAFE,Transport
6000,5/08/2018,1873304J,120.34,QLD,3823,Stream A,Work Related Items,20/04/2017,,,Trades qualification,Male,1.0,1.0,,,,1.0,22 to 24 years,12 to 23 Months,2017,4,Apr-17,Trade/TAFE,Work Items
6723,5/08/2018,1956329J,39.0,NSW,4313,Stream C,"Tools, Books, Equipment and Mobile Phones",25/05/2017,,,Year 10/11,Male,1.0,1.0,1.0,,,1.0,30 to 39 years,Under 12 Months,2017,5,May-17,Year 10/11,Other Items
7722,5/08/2018,1754003J,330.0,WA ,4987,Stream B,Targeted Pre-Employment Preparation,7/04/2017,Non-Accredited Education and Training (Vocational),Pre-Employment Training,Year 10/11,Female,1.0,1.0,,,,1.0,25 to 29 years,24 to 59 Months,2017,4,Apr-17,Year 10/11,Pre-Employ Prep
7845,5/08/2018,1795989J,550.0,WA ,5088,Stream C,Targeted Pre-Employment Preparation,6/04/2017,Non-Accredited Education and Training (Vocational),Pre-Employment Training,Year 10/11,Male,1.0,1.0,,,,1.0,30 to 39 years,24 to 59 Months,2017,4,Apr-17,Year 10/11,Pre-Employ Prep
8251,5/08/2018,1713990J,23.5,SA ,5329,Stream C,Job Seeker Transport,17/02/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,50 to 54 years,60+ Months,2017,2,Feb-17,<Year 10,Transport
8599,5/08/2018,2121111J,150.0,VIC,5563,Stream C,Professional Services,29/06/2017,,,Primary school or less than Year 10,Female,1.0,1.0,1.0,,,1.0,40 to 49 years,60+ Months,2017,6,Jun-17,<Year 10,Prof Service
8600,5/08/2018,2032220J,150.0,VIC,5563,Stream C,Professional Services,9/06/2017,,,Primary school or less than Year 10,Female,1.0,1.0,1.0,,,1.0,40 to 49 years,60+ Months,2017,6,Jun-17,<Year 10,Prof Service
8601,5/08/2018,2060925J,150.0,VIC,5563,Stream C,Professional Services,16/06/2017,,,Primary school or less than Year 10,Female,1.0,1.0,1.0,,,1.0,40 to 49 years,60+ Months,2017,6,Jun-17,<Year 10,Prof Service
8725,5/08/2018,1904002J,150.0,NSW,5654,Stream C,Professional Services,15/05/2017,,,Graduate Certificate or equivalent,Female,1.0,1.0,1.0,,,1.0,30 to 39 years,60+ Months,2017,5,May-17,Grad Diploma/Cert,Prof Service
8726,5/08/2018,1536301J,150.0,NSW,5654,Stream C,Professional Services,13/02/2017,,,Graduate Certificate or equivalent,Female,1.0,1.0,1.0,,,1.0,30 to 39 years,60+ Months,2017,2,Feb-17,Grad Diploma/Cert,Prof Service
8727,5/08/2018,1609620J,150.0,NSW,5654,Stream C,Professional Services,28/02/2017,,,Graduate Certificate or equivalent,Female,1.0,1.0,1.0,,,1.0,30 to 39 years,60+ Months,2017,2,Feb-17,Grad Diploma/Cert,Prof Service
8728,5/08/2018,1808979J,150.0,NSW,5654,Stream C,Professional Services,24/04/2017,,,Graduate Certificate or equivalent,Female,1.0,1.0,1.0,,,1.0,30 to 39 years,60+ Months,2017,4,Apr-17,Grad Diploma/Cert,Prof Service
8780,5/08/2018,1503563J,19.0,WA ,5695,Stream B,"Tools, Books, Equipment and Mobile Phones",2/02/2017,,,Secondary schooling completed (Year 12/13),Male,1.0,1.0,,,,1.0,50 to 54 years,24 to 59 Months,2017,2,Feb-17,Year 12/13,Other Items
8883,5/08/2018,2123248J,50.24,QLD,5757,Stream C,Work Related Items,16/06/2017,,,Primary school or less than Year 10,Female,1.0,1.0,1.0,,,1.0,30 to 39 years,60+ Months,2017,6,Jun-17,<Year 10,Work Items
8884,5/08/2018,1595015J,22.0,QLD,5757,Stream C,Job Seeker Transport,7/02/2017,,,Primary school or less than Year 10,Female,1.0,1.0,1.0,,,1.0,30 to 39 years,60+ Months,2017,2,Feb-17,<Year 10,Transport
9740,5/08/2018,1978153J,550.0,WA ,6254,Stream C,Targeted Pre-Employment Preparation,31/05/2017,Non-Accredited Education and Training (Vocational),Pre-Employment Training,Primary school or less than Year 10,Female,1.0,1.0,,,,1.0,Under 22 years,Under 12 Months,2017,5,May-17,<Year 10,Pre-Employ Prep
10595,5/08/2018,1688229J,19.0,WA ,6769,Stream B,Clothing and Presentation,23/03/2017,,,Primary school or less than Year 10,Female,1.0,1.0,,,,1.0,Under 22 years,Under 12 Months,2017,3,Mar-17,<Year 10,Clothing
10596,5/08/2018,1742875J,55.0,WA ,6769,Stream B,Clothing and Presentation,27/03/2017,,,Primary school or less than Year 10,Female,1.0,1.0,,,,1.0,Under 22 years,Under 12 Months,2017,3,Mar-17,<Year 10,Clothing
